Date,Stock Code,Stock Name,Currency,Opening,Closing,High,Low,Value Traded,Volume Traded,Board,Sector,StockPriceChange
01/04/2019,"=""0001""",SCOMNET,MYR,0.795,0.79,0.81,0.785,500654,630500,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Decrease
01/04/2019,"=""0002""",KOTRA,MYR,1.69,1.69,1.69,1.69,15717,9300,MAIN MARKET,HEALTH CARE,Remain
01/04/2019,"=""0005""",UCREST,MYR,0.26,0.255,0.265,0.255,1999327,7728700,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0006""",PINEAPP,MYR,0.0,0.32,0.0,0.0,0,0,ACE MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0007""",PUC,MYR,0.095,0.095,0.095,0.095,795359,8372200,ACE MARKET,TELECOMMUNICATIONS & MEDIA,Remain
01/04/2019,"=""0008""",WILLOW,MYR,0.45,0.455,0.455,0.45,22675,50000,MAIN MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0010""",IRIS,MYR,0.155,0.155,0.155,0.15,4729824,30644300,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0011""",BTECH,MYR,0.345,0.335,0.355,0.335,846588,2418000,ACE MARKET,UTILITIES,Decrease
01/04/2019,"=""0012""",3A,MYR,0.94,0.93,0.94,0.92,175025,188600,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,Decrease
01/04/2019,"=""0017""",M3TECH,MYR,0.05,0.055,0.055,0.05,6190,118900,ACE MARKET,TELECOMMUNICATIONS & MEDIA,Increase
01/04/2019,"=""0018""",LAMBO,MYR,0.145,0.15,0.15,0.145,731200,4878000,ACE MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0020""",NETX,MYR,0.02,0.015,0.02,0.015,52084,3410400,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0021""",GHLSYS,MYR,1.7,1.7,1.73,1.69,332874,195400,MAIN MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0022""",PARLO,MYR,0.08,0.08,0.08,0.08,2800,35000,ACE MARKET,CONSUMER PRODUCTS & SERVICES,Remain
01/04/2019,"=""0023""",IFCAMSC,MYR,0.45,0.445,0.46,0.44,9486439,21075500,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0024""",JAG,MYR,0.05,0.05,0.05,0.045,51812,1092600,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Remain
01/04/2019,"=""0025""",YBS,MYR,0.13,0.135,0.135,0.13,129600,995000,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Increase
01/04/2019,"=""0026""",NOVAMSC,MYR,0.125,0.125,0.13,0.12,794070,6272800,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0028""",SCOPE,MYR,0.23,0.225,0.235,0.225,253985,1109500,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Decrease
01/04/2019,"=""0029""",DIGISTA,MYR,0.045,0.045,0.05,0.045,1531,34000,MAIN MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0032""",REDTONE,MYR,0.32,0.31,0.33,0.305,1788024,5678800,ACE MARKET,TELECOMMUNICATIONS & MEDIA,Decrease
01/04/2019,"=""0034""",MMAG,MYR,0.0,0.225,0.0,0.0,0,0,ACE MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0035""",OPCOM,MYR,0.67,0.705,0.715,0.66,3015362,4339800,ACE MARKET,TELECOMMUNICATIONS & MEDIA,Increase
01/04/2019,"=""0036""",KGROUP,MYR,0.045,0.045,0.045,0.045,3150,70000,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0037""",RGB,MYR,0.21,0.21,0.215,0.21,220693,1045384,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,Remain
01/04/2019,"=""0038""",PTB,MYR,0.0,0.135,0.0,0.0,0,0,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Increase
01/04/2019,"=""0039""",GFM,MYR,0.505,0.49,0.505,0.49,333662,677200,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Decrease
01/04/2019,"=""0040""",OPENSYS,MYR,0.33,0.325,0.335,0.325,66953,202346,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0041""",MYSCM,MYR,0.24,0.24,0.24,0.24,34200,142500,MAIN MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0043""",MTRONIC,MYR,0.075,0.08,0.08,0.075,329516,4293632,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,Increase
01/04/2019,"=""0045""",GNB,MYR,0.045,0.045,0.045,0.045,36450,810000,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0047""",PERISAI,MYR,0.0,0.005,0.0,0.0,0,0,MAIN MARKET,ENERGY,Increase
01/04/2019,"=""0048""",ANCOMLB,MYR,0.09,0.095,0.105,0.09,300578,3165600,ACE MARKET,TRANSPORTATION & LOGISTICS,Increase
01/04/2019,"=""0049""",OCNCASH,MYR,0.44,0.445,0.445,0.435,38511,87800,MAIN MARKET,CONSUMER PRODUCTS & SERVICES,Increase
01/04/2019,"=""0050""",SYSTECH,MYR,0.235,0.23,0.235,0.23,41218,179100,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0051""",CUSCAPI,MYR,0.21,0.22,0.22,0.205,1721027,8102500,MAIN MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0053""",OSKVI,MYR,0.475,0.46,0.48,0.46,3997,8396,ACE MARKET,FINANCIAL SERVICES,Decrease
01/04/2019,"=""0054""",KARYON,MYR,0.13,0.13,0.135,0.13,184460,1417000,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,Remain
01/04/2019,"=""0055""",SERSOL,MYR,0.0,0.105,0.0,0.0,0,0,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Increase
01/04/2019,"=""0056""",GRANFLO,MYR,0.2,0.2,0.2,0.2,800,4000,MAIN MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0058""",JCBNEXT,MYR,1.54,1.48,1.54,1.46,65713,44000,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,Decrease
01/04/2019,"=""0059""",ECOHLDS,MYR,0.305,0.305,0.305,0.305,10675,35000,MAIN MARKET,TELECOMMUNICATIONS & MEDIA,Remain
01/04/2019,"=""0060""",VC,MYR,0.17,0.17,0.17,0.165,122944,724241,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0064""",EFFICEN,MYR,0.185,0.185,0.195,0.185,21740,114000,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES,Remain
01/04/2019,"=""0065""",EFORCE,MYR,0.465,0.46,0.47,0.45,2219638,4808900,MAIN MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0066""",VSOLAR,MYR,0.205,0.2,0.21,0.195,3102158,15555500,ACE MARKET,TECHNOLOGY,Decrease
01/04/2019,"=""0068""",ASDION,MYR,0.28,0.285,0.29,0.28,424608,1506700,ACE MARKET,TECHNOLOGY,Increase
01/04/2019,"=""0069""",VIVOCOM,MYR,0.02,0.02,0.02,0.015,20770,1166000,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0070""",MQTECH,MYR,0.025,0.025,0.025,0.025,1125,45000,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0072""",AT,MYR,0.05,0.05,0.05,0.05,25000,500000,ACE MARKET,INDUSTRIAL PRODUCTS & SERVICES,Remain
01/04/2019,"=""0074""",GOCEAN,MYR,0.11,0.11,0.11,0.11,1100,10000,ACE MARKET,CONSUMER PRODUCTS & SERVICES,Remain
01/04/2019,"=""0075""",LYC,MYR,0.315,0.315,0.325,0.315,137350,436000,ACE MARKET,TECHNOLOGY,Remain
01/04/2019,"=""0078""",GDEX,MYR,0.36,0.35,0.37,0.345,3658890,10240946,MAIN MARKET,TRANSPORTATION & LOGISTICS,Decrease
